"name","picurl","url"
"Sarvesaiad singi, juustu ja karulauguga","http://pilt.toidutare.ee/pilt/04.2020/182125/311x311.jpg?t=1587190685","http://toidutare.ee/käik/hommikusöögid/1CACF/#Sarvesaiad singi, juustu ja karulauguga"
"Munavurrid","http://pilt.toidutare.ee/pilt/04.2020/182118/311x311.jpg?t=1586587681","http://toidutare.ee/käik/hommikusöögid/1CAC5/#Munavurrid"
"Mandli-kookose leib","http://pilt.toidutare.ee/pilt/10.2019/181950/311x311.jpg?t=1572173218","http://toidutare.ee/käik/hommikusöögid/1CA1D/#Mandli-kookose leib"
"Porgandivahvlid","http://pilt.toidutare.ee/pilt/10.2019/181952/311x311.jpg?t=1572284820","http://toidutare.ee/käik/hommikusöögid/1CA19/#Porgandivahvlid"
"Suvikõrvitsa-kaerapätsid","http://pilt.toidutare.ee/pilt/09.2019/181929/311x311.jpg?t=1570513627","http://toidutare.ee/käik/hommikusöögid/1C9F8/#Suvikõrvitsa-kaerapätsid"
"Vürtsikas mannapuder","http://pilt.toidutare.ee/pilt/09.2019/181900/311x311.jpg?t=1568124184","http://toidutare.ee/käik/hommikusöögid/1C9DD/#Vürtsikas mannapuder"
"Suhkruherne-redise-kodujuustusalat","http://pilt.toidutare.ee/pilt/05.2019/181787/311x311.jpg?t=1559107979","http://toidutare.ee/käik/hommikusöögid/1C979/#Suhkruherne-redise-kodujuustusalat"
"Lihtne tomati- ja suitsujuustupirukas","http://pilt.toidutare.ee/pilt/05.2019/181777/311x311.jpg?t=1558853283","http://toidutare.ee/käik/hommikusöögid/1C97A/#Lihtne tomati- ja suitsujuustupirukas"
"Lihtne hommikusöök lavaši, kodujuustu ja munaga","http://pilt.toidutare.ee/pilt/04.2019/181732/311x311.jpg?t=1554282179","http://toidutare.ee/käik/hommikusöögid/1C941/#Lihtne hommikusöök lavaši, kodujuustu ja munaga"
"Ahjusõrnikud","http://pilt.toidutare.ee/pilt/03.2019/181735/311x311.jpg?t=1554713263","http://toidutare.ee/käik/hommikusöögid/1C93D/#Ahjusõrnikud"
