"name","picurl","url"
"Krevetipasta mozzarellaga","http://pilt.toidutare.ee/pilt/03.2020/182093/311x311.jpg?t=1583952538","http://toidutare.ee/käik/lõunasöök/1CAAC/#Krevetipasta mozzarellaga"
"Õige küüslaugune tomati-oasupp","http://pilt.toidutare.ee/pilt/03.2020/182090/311x311.jpg?t=1583434078","http://toidutare.ee/käik/lõunasöök/1CAA8/#Õige küüslaugune tomati-oasupp"
"Bulgurisalat Waldorfi meeleolus","http://pilt.toidutare.ee/pilt/03.2020/182086/311x311.jpg?t=1583218155","http://toidutare.ee/käik/lõunasöök/1CAA2/#Bulgurisalat Waldorfi meeleolus"
"Ühepotipasta suitsulõhega","http://pilt.toidutare.ee/pilt/03.2020/182088/311x311.jpg?t=1583398080","http://toidutare.ee/käik/lõunasöök/1CAA1/#Ühepotipasta suitsulõhega"
"Soe läätse ja salaami panniroog","http://pilt.toidutare.ee/pilt/01.2020/182042/311x311.jpg?t=1579506483","http://toidutare.ee/käik/lõunasöök/1CA72/#Soe läätse ja salaami panniroog"
"Punane läätseroog (dhal) India köögist","http://pilt.toidutare.ee/pilt/12.2019/181988/311x311.jpg?t=1575191884","http://toidutare.ee/käik/lõunasöök/1CA47/#Punane läätseroog (dhal) India köögist"
"Väikesed metsaseenepirukad","http://pilt.toidutare.ee/pilt/10.2019/181953/311x311.jpg?t=1572284821","http://toidutare.ee/käik/lõunasöök/1CA18/#Väikesed metsaseenepirukad"
"Carbonara brokoli ja lillkapsaga","http://pilt.toidutare.ee/pilt/10.2019/181954/311x311.jpg?t=1572284822","http://toidutare.ee/käik/lõunasöök/1CA17/#Carbonara brokoli ja lillkapsaga"
"Lehterkukeseene supp","http://pilt.toidutare.ee/pilt/10.2019/181943/311x311.jpg?t=1571558582","http://toidutare.ee/käik/lõunasöök/1CA14/#Lehterkukeseene supp"
"Imesupp","http://pilt.toidutare.ee/pilt/10.2019/181926/311x311.jpg?t=1570341783","http://toidutare.ee/käik/lõunasöök/1C9FF/#Imesupp"
"Suur feta-spinatipirukas","http://pilt.toidutare.ee/pilt/09.2019/181917/311x311.jpg?t=1569561480","http://toidutare.ee/käik/lõunasöök/1C9F6/#Suur feta-spinatipirukas"
"Ühepajatoit seentega","http://pilt.toidutare.ee/pilt/09.2019/181912/311x311.jpg?t=1569131227","http://toidutare.ee/käik/lõunasöök/1C9F3/#Ühepajatoit seentega"
"Patatas bravas ehk praetud kartulid vürtsika tomatikastmega","http://pilt.toidutare.ee/pilt/09.2019/181914/311x311.jpg?t=1569266285","http://toidutare.ee/käik/lõunasöök/1C9ED/#Patatas bravas ehk praetud kartulid vürtsika tomatikastmega"
"Kaalika-lambalihasupp  odraklimpidega","http://pilt.toidutare.ee/pilt/09.2019/181915/311x311.jpg?t=1569351786","http://toidutare.ee/käik/lõunasöök/1C9EA/#Kaalika-lambalihasupp  odraklimpidega"
"Krõbekattega baklažaanipihvid tšilliherneste ja fetaga","http://pilt.toidutare.ee/pilt/09.2019/181902/311x311.jpg?t=1568443686","http://toidutare.ee/käik/lõunasöök/1C9E0/#Krõbekattega baklažaanipihvid tšilliherneste ja fetaga"
"Kanafilee spinati- ja juustukattega","http://pilt.toidutare.ee/pilt/07.2019/181859/311x311.jpg?t=1563808679","http://toidutare.ee/käik/lõunasöök/1C9B5/#Kanafilee spinati- ja juustukattega"
"Juustused ahju-nachoʼd paksu seene- ja punaste ubade kastmega","http://pilt.toidutare.ee/pilt/05.2019/181775/311x311.jpg?t=1558598587","http://toidutare.ee/käik/lõunasöök/1C977/#Juustused ahju-nachoʼd paksu seene- ja punaste ubade kastmega"
"Roheline kauss","http://pilt.toidutare.ee/pilt/05.2019/181774/311x311.jpg?t=1558521185","http://toidutare.ee/käik/lõunasöök/1C976/#Roheline kauss"
"Brokoli-juustusupp","http://pilt.toidutare.ee/pilt/03.2019/181727/311x311.jpg?t=1553495493","http://toidutare.ee/käik/lõunasöök/1C939/#Brokoli-juustusupp"
"Lillkapsavorm hakklihapõhjal","http://pilt.toidutare.ee/pilt/03.2019/181705/311x311.jpg?t=1552400630","http://toidutare.ee/käik/lõunasöök/1C91F/#Lillkapsavorm hakklihapõhjal"
"Soe pannisalat porgandi ja ubadega","http://pilt.toidutare.ee/pilt/03.2019/181704/311x311.jpg?t=1552399424","http://toidutare.ee/käik/lõunasöök/1C91E/#Soe pannisalat porgandi ja ubadega"
"Ahjus küpsetatud kala ja krõpsud","http://pilt.toidutare.ee/pilt/03.2019/181699/311x311.jpg?t=1552314636","http://toidutare.ee/käik/lõunasöök/1C91B/#Ahjus küpsetatud kala ja krõpsud"
