"name","picurl","url"
"Astelpajukissell banaanikohupiima ja kookoslaastudega","http://pilt.toidutare.ee/pilt/02.2020/182065/311x311.jpg?t=1581936452","http://toidutare.ee/road/magustoidud_ja_maiustused/magusad_supid/1CA7F/#Astelpajukissell banaanikohupiima ja kookoslaastudega"
"Mandli ja pistaatsipähkli batoonid","http://pilt.toidutare.ee/pilt/01.2020/182050/311x311.jpg?t=1579870981","http://toidutare.ee/road/magustoidud_ja_maiustused/1CA74/#Mandli ja pistaatsipähkli batoonid"
"Hurmaa-tsitruse salat","http://pilt.toidutare.ee/pilt/12.2019/182010/311x311.jpg?t=1576500487","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1CA58/#Hurmaa-tsitruse salat"
"Jõulumandlid","http://pilt.toidutare.ee/pilt/12.2019/182000/311x311.jpg?t=1575959585","http://toidutare.ee/road/magustoidud_ja_maiustused/1CA4B/#Jõulumandlid"
"Punase sõstra ja valge sokolaadi ruudud","http://pilt.toidutare.ee/pilt/08.2019/181872/311x311.jpg?t=1565084924","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C9C4/#Punase sõstra ja valge sokolaadi ruudud"
"Metsmaasika-jogurtivaht","http://pilt.toidutare.ee/pilt/07.2019/181865/311x311.jpg?t=1563808841","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C9AA/#Metsmaasika-jogurtivaht"
"Magus poke kauss","http://pilt.toidutare.ee/pilt/07.2019/181866/311x311.jpg?t=1563808859","http://toidutare.ee/road/magustoidud_ja_maiustused/magusad_supid/1C9A9/#Magus poke kauss"
"Apelsinimekiga pulgakoogid","http://pilt.toidutare.ee/pilt/05.2019/181793/311x311.jpg?t=1559206072","http://toidutare.ee/road/magustoidud_ja_maiustused/1C96D/#Apelsinimekiga pulgakoogid"
"Pudingute kuninganna ehk Queen of Puddings","http://pilt.toidutare.ee/pilt/04.2019/181759/311x311.jpg?t=1556857986","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C95F/#Pudingute kuninganna ehk Queen of Puddings"
"Kõrvitsa ja valge šokolaadi koorekaramell ehk fudge","http://pilt.toidutare.ee/pilt/01.2019/181525/311x311.jpg?t=1547544454","http://toidutare.ee/road/magustoidud_ja_maiustused/1C87C/#Kõrvitsa ja valge šokolaadi koorekaramell ehk fudge"
"Kihiline piparkoogi-kohupiimamaius","http://pilt.toidutare.ee/pilt/12.2018/181424/311x311.jpg?t=1544449922","http://toidutare.ee/road/magustoidud_ja_maiustused/1C817/#Kihiline piparkoogi-kohupiimamaius"
"Vanillimaitseline õuna-jogurtikook","http://pilt.toidutare.ee/pilt/09.2018/181221/311x311.jpg?t=1537881155","http://toidutare.ee/road/magustoidud_ja_maiustused/1C764/#Vanillimaitseline õuna-jogurtikook"
"Õuna-pohlarull","http://pilt.toidutare.ee/pilt/09.2018/181182/311x311.jpg?t=1536321358","http://toidutare.ee/road/magustoidud_ja_maiustused/1C739/#Õuna-pohlarull"
"Mangovaht","http://pilt.toidutare.ee/pilt/08.2018/181097/311x311.jpg?t=1533630732","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C6E1/#Mangovaht"
"Elamuslik troopikajäätis","http://pilt.toidutare.ee/pilt/08.2018/181087/311x311.jpg?t=1533129130","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C6D4/#Elamuslik troopikajäätis"
"Järeleandmatu šokolaadijäätis","http://pilt.toidutare.ee/pilt/08.2018/181086/311x311.jpg?t=1533128902","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C6D3/#Järeleandmatu šokolaadijäätis"
"Ahvatlev mustika-juustukoogijäätis","http://pilt.toidutare.ee/pilt/08.2018/181085/311x311.jpg?t=1533128116","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C6D2/#Ahvatlev mustika-juustukoogijäätis"
"Kartmatu mango ja vaarika jäätis","http://pilt.toidutare.ee/pilt/08.2018/181084/311x311.jpg?t=1533127790","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C6D1/#Kartmatu mango ja vaarika jäätis"
"Punastava arbuusi jäätis","http://pilt.toidutare.ee/pilt/08.2018/181083/311x311.jpg?t=1533127599","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C6D0/#Punastava arbuusi jäätis"
"Kodujuustu-vaarikamaius","http://pilt.toidutare.ee/pilt/07.2018/181030/311x311.jpg?t=1531483141","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C6A0/#Kodujuustu-vaarikamaius"
"Kausikook keedukreemi ja maasikatega","http://pilt.toidutare.ee/pilt/07.2018/180994/311x311.jpg?t=1530699498","http://toidutare.ee/road/magustoidud_ja_maiustused/1C67D/#Kausikook keedukreemi ja maasikatega"
"Kreeka jogurti ja valge šokolaadi kreem maasikate ja basiilikuga","http://pilt.toidutare.ee/pilt/06.2018/180932/311x311.jpg?t=1529565832","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C669/#Kreeka jogurti ja valge šokolaadi kreem maasikate ja basiilikuga"
"Vahukoore-maasikatarretis","http://pilt.toidutare.ee/pilt/06.2018/180925/311x311.jpg?t=1529500645","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C662/#Vahukoore-maasikatarretis"
"Rabarberi-syllabub","http://pilt.toidutare.ee/pilt/05.2018/180757/311x311.jpg?t=1526633721","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C620/#Rabarberi-syllabub"
"Rabarberikissell","http://pilt.toidutare.ee/pilt/05.2018/180740/311x311.jpg?t=1526391750","http://toidutare.ee/road/magustoidud_ja_maiustused/magusad_supid/1C610/#Rabarberikissell"
"Rabarberikreem","http://pilt.toidutare.ee/pilt/05.2018/180746/311x311.jpg?t=1526480939","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C616/#Rabarberikreem"
"Leivasupp rabarberimoosi ja toorjuustuvahuga","http://pilt.toidutare.ee/pilt/05.2018/180725/311x311.jpg?t=1525868134","http://toidutare.ee/road/magustoidud_ja_maiustused/magusad_supid/1C605/#Leivasupp rabarberimoosi ja toorjuustuvahuga"
"Rabarberijäätis mooniseemnetega","http://pilt.toidutare.ee/pilt/05.2018/180726/311x311.jpg?t=1525869147","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C606/#Rabarberijäätis mooniseemnetega"
"Kuusevõrsetrühvlid","http://pilt.toidutare.ee/pilt/05.2018/180710/311x311.jpg?t=1525767939","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C5F4/#Kuusevõrsetrühvlid"
"Kausikook rabarberi ja jogurtivahuga","http://pilt.toidutare.ee/pilt/05.2018/180703/311x311.jpg?t=1525678750","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C5F1/#Kausikook rabarberi ja jogurtivahuga"
"Kookose-brüleekreem granadilliga","http://pilt.toidutare.ee/pilt/05.2018/180683/311x311.jpg?t=1525345033","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C5E1/#Kookose-brüleekreem granadilliga"
"Kaneelikrõpsud","http://pilt.toidutare.ee/pilt/05.2018/180690/311x311.jpg?t=1525355624","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C5E9/#Kaneelikrõpsud"
"Rocky Road kohtub Kirju Koeraga","http://pilt.toidutare.ee/pilt/05.2018/180687/311x311.jpg?t=1525352907","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C5E6/#Rocky Road kohtub Kirju Koeraga"
"Šokolaadidipp avokaadoga","http://pilt.toidutare.ee/pilt/04.2018/180659/311x311.jpg?t=1524489650","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C5C6/#Šokolaadidipp avokaadoga"
"Keeksikoogikesed tarretisega ehk red jelly Lamingtons","http://pilt.toidutare.ee/pilt/03.2018/180596/311x311.jpg?t=1521812461","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C578/#Keeksikoogikesed tarretisega ehk red jelly Lamingtons"
"Marjavorm virsikutega","http://pilt.toidutare.ee/pilt/03.2018/180595/311x311.jpg?t=1521812202","http://toidutare.ee/road/magustoidud_ja_maiustused/1C577/#Marjavorm virsikutega"
"Krõbedad šokolaadipallid","http://pilt.toidutare.ee/pilt/03.2018/180594/311x311.jpg?t=1521811903","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C576/#Krõbedad šokolaadipallid"
"Maisimuffinid ehk Honey Joys","http://pilt.toidutare.ee/pilt/03.2018/180597/311x311.jpg?t=1521812699","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C579/#Maisimuffinid ehk Honey Joys"
"Avokaadokreem banaaniga","http://pilt.toidutare.ee/pilt/03.2018/180582/311x311.jpg?t=1521747350","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C569/#Avokaadokreem banaaniga"
"Apelsinipasha porgandiga","http://pilt.toidutare.ee/pilt/03.2018/180540/311x311.jpg?t=1521042962","http://toidutare.ee/road/magustoidud_ja_maiustused/tarretised/1C535/#Apelsinipasha porgandiga"
"Roheline hernehalvaa","http://pilt.toidutare.ee/pilt/03.2018/180508/311x311.jpg?t=1520267353","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C511/#Roheline hernehalvaa"
